id,timestamp,temperature,humidity,precipitation,wind_speed,weather_code,description
11278,2026-03-06 04:29:00+00,11.4,81,0,4.3,3,overcast
11279,2026-03-06 04:30:00+00,11.3,82,0,4.7,3,overcast
11280,2026-03-06 04:31:00+00,11.3,82,0,4.7,3,overcast
11281,2026-03-06 04:32:00+00,11.3,82,0,4.7,3,overcast
11282,2026-03-06 04:34:00+00,11.3,82,0,4.7,3,overcast
11283,2026-03-06 04:35:00+00,11.3,82,0,4.7,3,overcast
11284,2026-03-06 04:36:00+00,11.3,82,0,4.7,3,overcast
11285,2026-03-06 04:37:00+00,11.3,82,0,4.7,3,overcast
11286,2026-03-06 04:38:00+00,11.3,82,0,4.7,3,overcast
11287,2026-03-06 04:39:00+00,11.3,82,0,4.7,3,overcast
11288,2026-03-06 04:40:00+00,11.3,82,0,4.7,3,overcast
11289,2026-03-06 04:41:00+00,11.3,82,0,4.7,3,overcast
11290,2026-03-06 04:42:00+00,11.3,82,0,4.7,3,overcast
11291,2026-03-06 04:43:00+00,11.3,82,0,4.7,3,overcast
11292,2026-03-06 04:44:00+00,11.3,82,0,4.7,3,overcast
11293,2026-03-06 04:45:00+00,11.3,82,0,5.4,3,overcast
11294,2026-03-06 04:46:00+00,11.3,82,0,5.4,2,partly cloudy
11295,2026-03-06 04:47:00+00,11.2,80,0,5.4,2,partly cloudy
11296,2026-03-06 04:49:00+00,11.2,80,0,5.4,2,partly cloudy
11297,2026-03-06 04:50:00+00,11.2,80,0,5.4,2,partly cloudy
11298,2026-03-06 04:51:00+00,11.2,80,0,5.4,2,partly cloudy
11299,2026-03-06 04:52:00+00,11.2,80,0,5.4,2,partly cloudy
11300,2026-03-06 04:53:00+00,11.2,80,0,5.4,2,partly cloudy
11301,2026-03-06 04:54:00+00,11.2,80,0,5.4,2,partly cloudy
11302,2026-03-06 04:55:00+00,11.2,80,0,5.4,2,partly cloudy
11303,2026-03-06 04:56:00+00,11.2,80,0,5.4,2,partly cloudy
11304,2026-03-06 04:57:00+00,11.2,80,0,5.4,2,partly cloudy
11305,2026-03-06 04:58:00+00,11.2,80,0,5.4,2,partly cloudy
11306,2026-03-06 04:59:00+00,11.2,80,0,5.4,2,partly cloudy
11307,2026-03-06 05:00:00+00,11.2,80,0,5.8,2,partly cloudy
11308,2026-03-06 05:01:00+00,11.2,80,0,5.8,2,partly cloudy
11309,2026-03-06 05:03:00+00,11.2,80,0,5.8,2,partly cloudy
11310,2026-03-06 05:04:00+00,11.2,80,0,5.8,2,partly cloudy
